id_node;id_td
1;13
2;13
3;11
4;11
5;11
6;11
7;11
8;11
8;15
9;11
10;11
11;13
12;13
13;13
14;13
15;20
16;20
17;20
18;20
19;20
20;30
20;31
21;30
21;31
22;30
22;31
24;24
26;31
27;31
28;31
29;31
30;11
31;11
31;12
32;11
33;10
33;11
34;13
35;13
36;13
37;27
38;27
39;27
40;31
41;32
42;31
44;12
45;12
46;12
46;13
47;13
51;24
52;23
52;24
53;24
54;23
55;24
56;23
57;23
58;23
59;23
60;20
61;20
62;20
63;20
63;38
64;23
65;24
66;11
67;10
67;11
68;10
69;11
70;11
70;12
71;20
72;20
73;20
74;20
74;38
75;12
76;12
77;12
78;12
79;24
80;24
81;20
82;20
82;38
83;23
83;24
84;20
85;20
86;12
88;30
89;31
90;30
91;31
92;31
94;25
95;25
96;23
96;25
97;25
97;28
98;20
98;38
99;20
100;11
100;15
101;11
102;11
103;11
104;11
105;19
105;38
106;19
107;23
108;23
109;12
112;19
113;23
113;25
114;24
114;26
115;23
115;24
115;25
115;26
116;23
116;25
117;23
117;25
118;23
118;25
119;24
119;26
120;24
120;26
121;24
121;26
122;24
122;26
123;24
123;26
124;24
124;26
125;27
126;5
127;5
128;24
129;24
132;19
133;32
134;32
135;32
136;32
137;32
138;27
139;29
142;10
143;10
143;11
144;10
145;11
146;12
147;6
147;14
148;6
148;14
149;6
149;10
149;14
150;6
150;7
150;14
151;7
152;18
152;7
153;10
153;11
154;10
154;11
155;10
155;11
155;14
156;32
157;31
157;32
158;31
159;12
160;12
161;19
162;35
163;32
164;24
165;20
166;26
167;26
168;26
168;29
169;29
170;29
173;12
174;12
177;29
177;30
178;29
179;29
180;29
181;26
181;29
182;26
183;26
184;30
187;30
188;29
188;30
189;30
190;26
190;29
191;26
192;26
193;29
194;29
195;26
196;3
197;3
198;26
199;26
200;26
201;29
202;12
203;25
204;25
205;10
206;11
207;11
211;27
212;32
213;32
215;32
216;32
217;32
218;8
218;13
219;8
219;13
220;13
221;13
222;8
222;12
222;13
224;32
225;32
227;32
228;32
229;32
230;32
231;25
232;25
233;32
234;12
235;14
236;11
237;11
238;10
239;11
239;12
240;25
241;25
242;25
243;25
244;15
245;15
246;15
247;11
247;15
248;15
249;11
249;12
249;15
250;12
251;10
251;14
252;10
252;14
253;10
253;11
253;14
254;11
254;15
255;11
255;14
255;15
256;18
257;18
258;18
258;38
259;18
259;14
260;14
261;14
262;14
264;25
265;25
266;25
267;25
267;26
268;14
269;14
269;15
270;14
270;15
271;18
271;14
271;15
272;14
272;15
275;1
276;1
280;14
281;26
282;25
282;26
283;29
284;26
284;29
285;14
286;15
287;15
288;15
289;15
290;15
291;3
291;4
294;15
295;15
296;15
297;15
298;15
299;15
301;25
301;26
302;25
303;25
305;15
306;15
307;15
308;28
308;29
309;28
309;29
310;28
310;29
310;30
310;31
311;25
311;26
311;28
311;29
312;38
313;38
314;17
315;38
315;17
316;15
316;17
317;6
318;25
319;26
319;29
320;2
321;2
321;3
322;1
323;1
324;1
324;2
325;3
326;3
327;2
327;3
328;1
328;2
329;1
330;2
331;2
332;3
332;5
333;1
334;1
334;2
335;2
335;3
336;2
337;1
338;1
339;1
340;1
340;2
341;3
342;3
342;5
343;29
344;29
345;29
346;16
347;1
