wkt;source;target;length;num_lines;type_seg;direction;right_node;left_node
MultiLineString ((9530263.01716684363782406 7538105.88210103567689657, 9530364.76318142749369144 7538119.03912600316107273));2;34;0.057;1;3;1;0;0
MultiLineString ((9530263.01716684363782406 7538105.88210103567689657, 9530255.43630952015519142 7538104.88686557952314615));2;591;0.004;1;3;-1;0;0
MultiLineString ((9530875.84209560789167881 7536872.02904005721211433, 9530677.44849911704659462 7536888.40798850636929274));3;4;0.111;1;3;-1;555;103
MultiLineString ((9530875.84209560789167881 7536872.02904005721211433, 9531071.34138534031808376 7536849.46077736746519804));3;6;0.11;1;3;1;104;207
MultiLineString ((9530875.84209560789167881 7536872.02904005721211433, 9530849.49277213774621487 7536659.08600498735904694));3;102;0.12;1;3;1;103;104
MultiLineString ((9530875.84209560789167881 7536872.02904005721211433, 9530884.72539097629487514 7537091.78451553173363209));3;145;0.123;1;3;-1;207;555
MultiLineString ((9530677.44849911704659462 7536888.40798850636929274, 9530875.84209560789167881 7536872.02904005721211433));4;3;0.111;1;3;1;102;145
MultiLineString ((9530677.44849911704659462 7536888.40798850636929274, 9530470.11594751477241516 7536909.6827625585719943));4;5;0.117;1;3;-1;69;66
MultiLineString ((9530677.44849911704659462 7536888.40798850636929274, 9530654.78385079093277454 7536674.82766542211174965));4;103;0.12;1;3;-1;0;102
MultiLineString ((9530677.44849911704659462 7536888.40798850636929274, 9530690.70665047131478786 7537107.38775289338082075));4;555;0.123;1;3;1;145;69
MultiLineString ((9530470.11594751477241516 7536909.6827625585719943, 9530677.44849911704659462 7536888.40798850636929274));5;4;0.117;1;3;1;103;555
MultiLineString ((9530470.11594751477241516 7536909.6827625585719943, 9530284.78012729249894619 7536928.23107041697949171));5;9;0.104;1;3;-1;30;32
MultiLineString ((9530470.11594751477241516 7536909.6827625585719943, 9530444.99113844148814678 7536701.3358192564919591));5;66;0.117;1;3;1;32;0
MultiLineString ((9530470.11594751477241516 7536909.6827625585719943, 9530493.17021405696868896 7537129.53883210103958845));5;69;0.124;1;3;-1;555;30
MultiLineString ((9531071.34138534031808376 7536849.46077736746519804, 9530875.84209560789167881 7536872.02904005721211433));6;3;0.11;1;3;-1;145;102
MultiLineString ((9531071.34138534031808376 7536849.46077736746519804, 9531265.9501191433519125 7536834.09688359498977661));6;7;0.109;1;3;1;101;236
MultiLineString ((9531071.34138534031808376 7536849.46077736746519804, 9531046.48374304547905922 7536638.4288563122972846));6;104;0.119;1;3;-1;102;101
MultiLineString ((9531071.34138534031808376 7536849.46077736746519804, 9531100.00615421868860722 7537073.85277318023145199));6;207;0.127;1;3;1;236;145
MultiLineString ((9531265.9501191433519125 7536834.09688359498977661, 9531071.34138534031808376 7536849.46077736746519804));7;6;0.109;1;3;-1;207;104
MultiLineString ((9531265.9501191433519125 7536834.09688359498977661, 9531487.8655240423977375 7536808.10570360254496336));7;8;0.125;1;3;1;100;254
MultiLineString ((9531265.9501191433519125 7536834.09688359498977661, 9531250.43218212760984898 7536624.35894213244318962));7;101;0.118;1;3;-1;104;100
MultiLineString ((9531265.9501191433519125 7536834.09688359498977661, 9531286.45516934804618359 7537058.32921224180608988));7;236;0.126;1;3;1;254;207
MultiLineString ((9531487.8655240423977375 7536808.10570360254496336, 9531265.9501191433519125 7536834.09688359498977661));8;7;0.125;1;3;-1;236;101
MultiLineString ((9531487.8655240423977375 7536808.10570360254496336, 9531456.30644840002059937 7536603.46307780966162682));8;100;0.116;1;3;-1;101;0
MultiLineString ((9531487.8655240423977375 7536808.10570360254496336, 9531522.54154542461037636 7537038.66608033794909716));8;254;0.13;1;3;1;0;236
MultiLineString ((9530284.78012729249894619 7536928.23107041697949171, 9530470.11594751477241516 7536909.6827625585719943));9;5;0.104;1;3;1;66;69
