from_td;to_td;h6;h7;h8;h9
1;4;3;7;8;6
1;5;46;101;115;87
1;6;8;18;20;15
1;7;11;24;28;21
1;10;8;18;20;15
1;11;1;2;3;2
1;14;15;33;38;29
1;16;25;55;63;48
1;18;9;20;23;17
1;20;1;2;3;2
1;22;1;2;3;2
1;23;19;42;48;36
1;24;1;2;3;2
1;25;21;46;53;40
1;28;21;46;53;40
1;29;1;2;3;2
1;38;1;2;3;2
2;4;4;9;10;8
2;5;66;145;165;125
2;6;11;24;28;21
2;7;16;35;40;30
2;10;12;26;30;23
2;11;1;2;3;2
2;14;22;48;55;42
2;16;36;79;90;68
2;17;1;2;3;2
2;18;13;29;33;25
2;20;1;2;3;2
2;22;1;2;3;2
2;23;27;59;68;51
2;24;1;2;3;2
2;25;30;66;75;57
2;27;1;2;3;2
2;28;30;66;75;57
2;29;1;2;3;2
2;38;1;2;3;2
3;4;3;7;8;6
3;5;53;117;133;101
3;6;9;20;23;17
3;7;13;29;33;25
3;10;9;20;23;17
3;11;1;2;3;2
3;14;17;37;43;32
3;16;29;64;73;55
3;18;11;24;28;21
3;20;1;2;3;2
3;22;1;2;3;2
3;23;22;48;55;42
3;24;1;2;3;2
3;25;24;53;60;46
3;28;24;53;60;46
3;29;1;2;3;2
3;38;1;2;3;2
4;5;36;79;90;68
4;6;6;13;15;11
4;7;9;20;23;17
4;10;6;13;15;11
4;14;12;26;30;23
4;16;20;44;50;38
4;18;7;15;18;13
4;20;1;2;3;2
4;22;1;2;3;2
4;23;15;33;38;29
4;25;16;35;40;30
4;28;16;35;40;30
4;29;1;2;3;2
4;38;1;2;3;2
5;4;4;9;10;8
5;6;11;24;28;21
5;7;16;35;40;30
5;10;11;24;28;21
5;11;1;2;3;2
5;14;21;46;53;40
5;16;35;77;88;67
5;17;1;2;3;2
5;18;13;29;33;25
5;20;1;2;3;2
5;22;1;2;3;2
5;23;26;57;65;49
5;24;1;2;3;2
5;25;29;64;73;55
5;28;29;64;73;55
5;29;1;2;3;2
5;38;1;2;3;2
6;4;1;2;3;2
6;5;24;53;60;46
6;7;6;13;15;11
6;10;4;9;10;8
6;14;8;18;20;15
6;16;14;31;35;27
6;18;5;11;13;10
6;23;10;22;25;19
6;25;11;24;28;21
6;28;11;24;28;21
7;4;3;7;8;6
7;5;53;117;133;101
7;6;9;20;23;17
7;10;10;22;25;19
7;11;1;2;3;2
7;14;18;40;45;34
7;16;31;68;78;59
7;17;1;2;3;2
7;18;12;26;30;23
7;20;1;2;3;2
7;22;1;2;3;2
7;23;22;48;55;42
7;24;1;2;3;2
7;25;25;55;63;48
7;28;26;57;65;49
7;29;1;2;3;2
7;38;1;2;3;2
8;4;4;9;10;8
8;5;58;128;145;110
8;6;10;22;25;19
8;7;14;31;35;27
8;10;10;22;25;19
8;11;1;2;3;2
8;14;19;42;48;36
8;16;32;70;80;61
8;17;1;2;3;2
8;18;12;26;30;23
8;20;1;2;3;2
8;22;1;2;3;2
8;23;23;51;58;44
8;24;1;2;3;2
8;25;26;57;65;49
8;28;26;57;65;49
8;29;1;2;3;2
8;38;1;2;3;2
9;4;3;7;8;6
9;5;43;95;108;82
9;6;7;15;18;13
9;7;11;24;28;21
9;10;8;18;20;15
9;11;1;2;3;2
9;14;14;31;35;27
9;16;24;53;60;46
9;18;9;20;23;17
9;20;1;2;3;2
9;22;1;2;3;2
9;23;17;37;43;32
9;25;20;44;50;38
9;28;19;42;48;36
9;29;1;2;3;2
9;38;1;2;3;2
10;4;3;7;8;6
10;5;40;88;100;76
10;6;7;15;18;13
10;7;10;22;25;19
10;14;14;31;35;27
10;16;23;51;58;44
10;18;8;18;20;15
10;20;1;2;3;2
10;22;1;2;3;2
10;23;17;37;43;32
10;25;19;42;48;36
10;28;18;40;45;34
10;29;1;2;3;2
10;38;1;2;3;2
11;3;1;2;3;2
11;4;6;13;15;11
11;5;100;220;250;190
