from_td;to_td;h6;h7;h8;h9
1;4;6;63;24;54
1;5;138;404;230;348
1;6;40;54;60;60
1;7;66;216;168;147
1;10;24;72;40;105
1;11;3;18;12;8
1;14;45;66;114;261
1;16;200;495;441;144
1;18;27;80;184;153
1;20;4;16;9;16
1;22;5;16;27;18
1;23;152;84;144;216
1;24;7;8;15;6
1;25;189;322;424;360
1;28;63;322;212;160
1;29;4;16;18;8
1;38;7;8;12;4
2;4;36;72;70;56
2;5;198;435;495;625
2;6;55;120;168;126
2;7;64;210;80;120
2;10;108;208;270;92
2;11;8;14;12;12
2;14;44;96;330;252
2;16;108;711;720;340
2;17;3;4;9;10
2;18;26;145;198;100
2;20;7;18;27;12
2;22;9;10;15;12
2;23;243;118;476;357
2;24;3;4;24;12
2;25;150;264;450;513
2;27;3;6;18;18
2;28;180;528;450;285
2;29;2;14;6;4
2;38;5;4;18;12
3;4;21;35;16;24
3;5;212;585;798;202
3;6;45;100;115;119
3;7;78;174;264;100
3;10;18;180;207;153
3;11;4;18;18;12
3;14;136;222;129;224
3;16;261;448;657;275
3;18;22;144;196;63
3;20;9;4;12;4
3;22;9;14;15;10
3;23;154;144;220;126
3;24;8;6;9;12
3;25;72;212;420;92
3;28;144;477;120;414
3;29;2;6;15;8
3;38;7;8;15;8
4;5;108;158;810;476
4;6;12;117;60;55
4;7;81;80;92;119
4;10;24;39;135;22
4;14;84;208;240;69
4;16;160;264;400;190
4;18;63;75;72;65
4;20;9;14;12;10
4;22;2;10;24;10
4;23;45;198;114;145
4;25;32;315;240;180
4;28;80;245;360;90
4;29;2;16;27;4
4;38;4;18;27;16
5;4;24;36;20;48
5;6;44;168;168;168
5;7;96;315;120;240
5;10;44;72;252;105
5;11;4;12;9;8
5;14;105;414;106;320
5;16;245;154;352;201
5;17;6;14;21;18
5;18;65;87;198;50
5;20;8;14;27;8
5;22;9;12;9;16
5;23;234;513;520;392
5;24;3;6;12;8
5;25;174;448;365;330
5;28;116;192;438;220
5;29;6;6;9;12
5;38;2;6;9;10
6;4;7;6;9;14
6;5;168;265;240;92
6;7;18;117;105;88
